CookerStat, GenerateAssetRegistry=0.031431, Initialize=0.296734, RunGuid=RunID0005B3FA2F04130C00200239598573FA
DDCTransactionId0660558E1B04130C002503B06A3B89EB_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BCDC61154176003A11ECEDB182FFC47C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.12-19.37.27, Duration=2.867540, RunGuid=RunID0005B3FA2F04130C00200239598573FA
DDCTransactionId06617E781B04130C002503B26A3B9EB8_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BCDC61154176003A11ECEDB182FFC__46B1BFA29CA40E59C3533217E042C1E9064A972C, StartTime=2016.04.12-19.37.27, HierarchicalDDC=, DataSize=1186, Duration=1.117716, RunGuid=RunID0005B3FA2F04130C00200239598573FA
MaterialTransactionId066312CB1B04130C002503B66A3BA20F_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_3900__BC5N_DEV_SL_NoDBuf_EARLYZ3F5EB084E41495243B2293491141DD6D6_Num_SM4__0___TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLandscapeGrassWeightVSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeGrassWeightPSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeXYOffsetVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLandscapeVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C7632742242000000000595000404040404040404040404343434444434343434040404040404040404043434340404040440404040404040404040404043434344444343434340404040404040404040434343404040161010101010004242444444444444444241414143414141414131314141414443414440444444444444444141414141414141414341434141414141414141414141313144444142414444444141010100044434143414141414444444343414344444444044444444444444444444444444444444444444444444444444444444444444444444444444040101010101010101010101010101010101010101010101012104434343434441444444444444444401010101010101010101010101013014341434241414142444141303313131414444444447444444444404040000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D000000080000001000000086AA5A06682BE66A3A4B5ED6A284DD18EEE12A960000000000000000000000000000000000000000, ShaderCompilation=12151.268555, RunGuid=RunID0005B3FA2F04130C00200239598573FA
MaterialTransactionId066312CB1B04130C002503B66A3BA20F_1, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_3900__BC5N_DEV_SL_NoDBuf_EARLYZ36F9EF8844B827B07BCC970B2569BB070_Num_SM4__0___TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLandscapeGrassWeightVSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeGrassWeightPSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeXYOffsetVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLandscapeVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C7632742242000000000595000404040404040404040404343434444434343434040404040404040404043434340404040440404040404040404040404043434344444343434340404040404040404040434343404040161010101010004242444444444444444241414143414141414131314141414443414440444444444444444141414141414141414341434141414141414141414141313144444142414444444141010100044434143414141414444444343414344444444044444444444444444444444444444444444444444444444444444444444444444444444444040101010101010101010101010101010101010101010101012104434343434441444444444444444401010101010101010101010101013014341434241414142444141303313131414444444447444444444404040000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000100000009808ED44A3A2BD008B31C90EE158CB04DDA10C140000000000000000000000000000000000000000, ShaderCompilation=18705.265625, RunGuid=RunID0005B3FA2F04130C00200239598573FA
MaterialTransactionId066312CB1B04130C002503B66A3BA20F_2, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_3900__BC5N_DEV_SL_NoDBuf_EARLYZ36F9EF8844B827B07BCC970B2569BB070_Num_SM4_SelectedEB75458B481C810415361AB12994AC1D1AlphaBrush85A515E14EAEA5368DE2E1B1ED09E8370_0___TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLandscapeGrassWeightVSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeGrassWeightPSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeXYOffsetVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLandscapeVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C7632742242000000000595000404040404040404040404343434444434343434040404040404040404043434340404040440404040404040404040404043434344444343434340404040404040404040434343404040161010101010004242444444444444444241414143414141414131314141414443414440444444444444444141414141414141414341434141414141414141414141313144444142414444444141010100044434143414141414444444343414344444444044444444444444444444444444444444444444444444444444444444444444444444444444040101010101010101010101010101010101010101010101012104434343434441444444444444444401010101010101010101010101013014341434241414142444141303313131414444444447444444444404040000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000100000009808ED44A3A2BD008B31C90EE158CB04DDA10C140000000000000000000000000000000000000000, ShaderCompilation=23358.957031, RunGuid=RunID0005B3FA2F04130C00200239598573FA
MaterialTransactionId066312CB1B04130C002503B66A3BA20F_3, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_3900__BC5N_DEV_SL_NoDBuf_EARLYZ343EB117B461474EA2DE0C898940B7157_Num_SM4__0___TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLandscapeGrassWeightVSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeGrassWeightPSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeXYOffsetVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLandscapeVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C7632742242000000000595000404040404040404040404343434444434343434040404040404040404043434340404040440404040404040404040404043434344444343434340404040404040404040434343404040161010101010004242444444444444444241414143414141414131314141414443414440444444444444444141414141414141414341434141414141414141414141313144444142414444444141010100044434143414141414444444343414344444444044444444444444444444444444444444444444444444444444444444444444444444444444040101010101010101010101010101010101010101010101012104434343434441444444444444444401010101010101010101010101013014341434241414142444141303313131414444444447444444444404040000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D0000000800000010000000887334A43E63E1A5D33A793C92B9F003B47196510000000000000000000000000000000000000000, ShaderCompilation=32919.257812, RunGuid=RunID0005B3FA2F04130C00200239598573FA
MaterialTransactionId066312CB1B04130C002503B66A3BA20F_4, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_3900__BC5N_DEV_SL_NoDBuf_EARLYZ343EB117B461474EA2DE0C898940B7157_Num_SM4_Gizmo87A19B9E433A8EE83B6C2E88F82447EB0_0___TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_PerspectiveCorrect$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TTranslucencyShadowDepthVS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31614224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222000044040000001400000014000000140000001400000014000000_TTranslucencyShadowDepthPS$3cTranslucencyShadowDepth_Standard$3eF9F0C427BF4B0ACA87E3007924F7ED5C24AB50E31664224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLandscapeGrassWeightVSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeGrassWeightPSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeXYOffsetVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLandscapeVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C7632742242000000000595000404040404040404040404343434444434343434040404040404040404043434340404040440404040404040404040404043434344444343434340404040404040404040434343404040161010101010004242444444444444444241414143414141414131314141414443414440444444444444444141414141414141414341434141414141414141414141313144444142414444444141010100044434143414141414444444343414344444444044444444444444444444444444444444444444444444444444444444444444444444444444040101010101010101010101010101010101010101010101012104434343434441444444444444444401010101010101010101010101013014341434241414142444141303313131414444444447444444444404040000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D0000000800000010000000887334A43E63E1A5D33A793C92B9F003B47196510000000000000000000000000000000000000000, ShaderCompilation=32916.406250, RunGuid=RunID0005B3FA2F04130C00200239598573FA
MaterialTransactionId066312CB1B04130C002503B66A3BA20F_5, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_3900__BC5N_DEV_SL_NoDBuf_EARLYZ328D53DD14729CDF04DBF489F648505FD_Num_SM4__0_64689FC442DFBD6DE6A27C947E944982__TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLandscapeGrassWeightVSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeGrassWeightPSB92D56A78BC933CD0126B261270F7A057F4EA09C15542242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222220000440400001400000014000000140000001400000014000000_FLandscapeXYOffsetVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLandscapeVertexFactory29012CE5059C8367DF88216F547A0B0DB1779DC3202222222222222222222200000072222220200_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C7632742242000000000595000404040404040404040404343434444434343434040404040404040404043434340404040440404040404040404040404043434344444343434340404040404040404040434343404040161010101010004242444444444444444241414143414141414131314141414443414440444444444444444141414141414141414341434141414141414141414141313144444142414444444141010100044434143414141414444444343414344444444044444444444444444444444444444444444444444444444444444444444444444444444444040101010101010101010101010101010101010101010101012104434343434441444444444444444401010101010101010101010101013014341434241414142444141303313131414444444447444444444404040000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D0000000800000010000000DA39A3EE5E6B4B0D3255BFEF95601890AFD807090000000000000000000000000000000000000000, ShaderCompilation=87560.125000, RunGuid=RunID0005B3FA2F04130C00200239598573FA
DDCTransactionId073ACEF21C04130C0025015E6A41B826_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_4C__70FB6301E4CDB6364337F4BA6E3B15E306CE3CF2, StartTime=2016.04.12-19.37.28, HierarchicalDDC=, DataSize=3373, Duration=1.118189, RunGuid=RunID0005B3FA2F04130C00200239598573FA
DDCTransactionId073CEF061C04130C002501626A41D53A_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_09E28D29474795C1DCA6A8AB4D6ADB8__CA79B2CE7EF96B9F64DD5D63059668DFE98D48A9, StartTime=2016.04.12-19.37.28, HierarchicalDDC=, DataSize=2074, Duration=0.886464, RunGuid=RunID0005B3FA2F04130C00200239598573FA
